Product ID,Active (0/1),Name *,"Categories (x,y,z...)",Price tax excluded or Price tax included,Tax rules ID,Wholesale price,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,Ecotax,Width,Height,Depth,Weight,Quantity,Minimal quantity,Visibility,Additional shipping cost,Unity,Unit price,Short description,Description,"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,"Available for order (0 = No, 1 = Yes)",Product available date,Product creation date,"Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Delete existing images (0 = No, 1 = Yes)",Feature(Name:Value:Position),"Available online only (0 = No, 1 = Yes)",Condition,"Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)",Out of stock,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse
10,1,Kronenbourg Blonde -  6x25 cl ,"Boissons, Bières,Kronenbourg","2,8967",1,,0,,,,,3080216047645,15812,,Kronenbourg,3080216047645,,1,,,,,100,1,,,col HT,"0,2",<p>Découvrez notre produit <strong>Kronenbourg Kronenbourg Blonde -  6x25 cl  3080216047645</strong></p><p>Notre produit a une date limite d'utilisation optimale (DLUO) de <strong>12 mois.</strong></p><p>Le conditionnement est par Fardeau de 4 Packs</p>,"<p>Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel !</p> <p> Le conditionnement est de  6x25 cl Fardeau de 4 Packs. Production fraîche.</p>",,Kronenbourg Kronenbourg Blonde -  6x25 cl  Achat demi gros,"Boissons, Bières,Kronenbourg,Kronenbourg,3080216047645,demi gros gros","Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel ! Le conditionnement est de  6x25 cl Fardeau de 4 Packs.",3080216047645-Kronenbourg Blonde -  6x25 cl ,Livrable 4 jours ouvrés,Livrable 9 jours ouvrés,1,2018-03-10,2018-03-10,1,http://localhost/mcimages/kro-blonde-25.jpg,0,"Fardeau:Fardeau de 4 Packs,Unités par palette:416,Unités par demi-palette:208,PCB:4,Degrés d'alcool:4.2,DLUO (mois):12",0,new,0,0,0,0,0,0,0,0
11,1,Kronenbourg Blonde -  10 x 25 cl ,"Boissons, Bières,Kronenbourg","4,5888",1,,0,,,,,3080216047690,15818,,Kronenbourg,3080216047690,,1,,,,,100,1,,,col HT,"0,2",<p>Découvrez notre produit <strong>Kronenbourg Kronenbourg Blonde -  10 x 25 cl  3080216047690</strong></p><p>Notre produit a une date limite d'utilisation optimale (DLUO) de <strong>12 mois.</strong></p><p>Le conditionnement est par Fardeau de 2 Packs</p>,"<p>Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel !</p> <p> Le conditionnement est de  10 x 25 cl Fardeau de 2 Packs. Production fraîche.</p>",,Kronenbourg Kronenbourg Blonde -  10 x 25 cl  Achat demi gros,"Boissons, Bières,Kronenbourg,Kronenbourg,3080216047690,demi gros gros","Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel ! Le conditionnement est de  10 x 25 cl Fardeau de 2 Packs.",3080216047690-Kronenbourg Blonde -  10 x 25 cl ,Livrable 4 jours ouvrés,Livrable 9 jours ouvrés,1,2018-03-10,2018-03-10,1,http://localhost/mcimages/kro-blonde-25.jpg,0,"Fardeau:Fardeau de 2 Packs,Unités par palette:272,Unités par demi-palette:136,PCB:2,Degrés d'alcool:4.2,DLUO (mois):12",0,new,0,0,0,0,0,0,0,0
12,1,Kronenbourg Blonde -  6 x 33 cl ,"Boissons, Bières,Kronenbourg","4,1004",1,,0,,,,,3080216039763,65039,,Kronenbourg,3080216039763,,1,,,,,100,1,,,col HT,"0,2",<p>Découvrez notre produit <strong>Kronenbourg Kronenbourg Blonde -  6 x 33 cl  3080216039763</strong></p><p>Notre produit a une date limite d'utilisation optimale (DLUO) de <strong>12 mois.</strong></p><p>Le conditionnement est par Barquette de 4 Paniers</p>,"<p>Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel !</p> <p> Le conditionnement est de  6 x 33 cl Barquette de 4 Paniers. Production fraîche.</p>",,Kronenbourg Kronenbourg Blonde -  6 x 33 cl  Achat demi gros,"Boissons, Bières,Kronenbourg,Kronenbourg,3080216039763,demi gros gros","Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel ! Le conditionnement est de  6 x 33 cl Barquette de 4 Paniers.",3080216039763-Kronenbourg Blonde -  6 x 33 cl ,Livrable 4 jours ouvrés,Livrable 9 jours ouvrés,1,2018-03-10,2018-03-10,1,http://localhost/mcimages/kro-blonde-33.jpg,0,"Fardeau:Barquette de 4 Paniers,Unités par palette:336,Unités par demi-palette:168,PCB:336,Degrés d'alcool:4.2,DLUO (mois):12",0,new,0,0,0,0,0,0,0,0
13,1,Kronenbourg Blonde -  12 x 33 cl ,"Boissons, Bières,Kronenbourg","7,412",1,,0,,,,,3080216039534,65011,,Kronenbourg,3080216039534,,1,,,,,100,1,,,col HT,"0,2",<p>Découvrez notre produit <strong>Kronenbourg Kronenbourg Blonde -  12 x 33 cl  3080216039534</strong></p><p>Notre produit a une date limite d'utilisation optimale (DLUO) de <strong>12 mois.</strong></p><p>Le conditionnement est par Fardeau de 2 Packs</p>,"<p>Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel !</p> <p> Le conditionnement est de  12 x 33 cl Fardeau de 2 Packs. Production fraîche.</p>",,Kronenbourg Kronenbourg Blonde -  12 x 33 cl  Achat demi gros,"Boissons, Bières,Kronenbourg,Kronenbourg,3080216039534,demi gros gros","Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel ! Le conditionnement est de  12 x 33 cl Fardeau de 2 Packs.",3080216039534-Kronenbourg Blonde -  12 x 33 cl ,Livrable 4 jours ouvrés,Livrable 9 jours ouvrés,1,2018-03-10,2018-03-10,1,http://localhost/mcimages/kro-blonde-33.jpg,0,"Fardeau:Fardeau de 2 Packs,Unités par palette:168,Unités par demi-palette:84,PCB:168,Degrés d'alcool:4.2,DLUO (mois):12",0,new,0,0,0,0,0,0,0,0
14,1,Kronenbourg Blonde -  6 x 33 cl Boite - ,"Boissons, Bières,Kronenbourg","3,4003",1,,0,,,,,3080216048802,16653,,Kronenbourg,3080216048802,,1,,,,,100,1,,,col HT,"0,2",<p>Découvrez notre produit <strong>Kronenbourg Kronenbourg Blonde -  6 x 33 cl Boite -  3080216048802</strong></p><p>Notre produit a une date limite d'utilisation optimale (DLUO) de <strong>12 mois.</strong></p><p>Le conditionnement est par Barquette de 4 Packs</p>,"<p>Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel !</p> <p> Le conditionnement est de  6 x 33 cl Boite - Barquette de 4 Packs. Production fraîche.</p>",,Kronenbourg Kronenbourg Blonde -  6 x 33 cl Boite -  Achat demi gros,"Boissons, Bières,Kronenbourg,Kronenbourg,3080216048802,demi gros gros","Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel ! Le conditionnement est de  6 x 33 cl Boite - Barquette de 4 Packs.",3080216048802-Kronenbourg Blonde -  6 x 33 cl Boite - ,Livrable 4 jours ouvrés,Livrable 9 jours ouvrés,1,2018-03-10,2018-03-10,1,http://localhost/mcimages/kro-blonde-33-can.jpg,0,"Fardeau:Barquette de 4 Packs,Unités par palette:520,Unités par demi-palette:260,PCB:4,Degrés d'alcool:4.2,DLUO (mois):12",0,new,0,0,0,0,0,0,0,0
15,1,Kronenbourg Blonde -  12 x 33 cl Boite -,"Boissons, Bières,Kronenbourg","6,3684",1,,0,,,,,3080216048741,16649,,Kronenbourg,3080216048741,,1,,,,,100,1,,,col HT,"0,2",<p>Découvrez notre produit <strong>Kronenbourg Kronenbourg Blonde -  12 x 33 cl Boite - 3080216048741</strong></p><p>Notre produit a une date limite d'utilisation optimale (DLUO) de <strong>12 mois.</strong></p><p>Le conditionnement est par Fardeau de 2 Packs</p>,"<p>Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel !</p> <p> Le conditionnement est de  12 x 33 cl Boite -Fardeau de 2 Packs. Production fraîche.</p>",,Kronenbourg Kronenbourg Blonde -  12 x 33 cl Boite - Achat demi gros,"Boissons, Bières,Kronenbourg,Kronenbourg,3080216048741,demi gros gros","Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel ! Le conditionnement est de  12 x 33 cl Boite -Fardeau de 2 Packs.",3080216048741-Kronenbourg Blonde -  12 x 33 cl Boite -,Livrable 4 jours ouvrés,Livrable 9 jours ouvrés,1,2018-03-10,2018-03-10,1,http://localhost/mcimages/kro-blonde-33-can.jpg,0,"Fardeau:Fardeau de 2 Packs,Unités par palette:260,Unités par demi-palette:130,PCB:2,Degrés d'alcool:4.2,DLUO (mois):12",0,new,0,0,0,0,0,0,0,0
16,1,Kronenbourg Blonde -  1 x 50 cl Boite - ,"Boissons, Bières,Kronenbourg","0,8894",1,,0,,,,,3080216043210,66212,,Kronenbourg,3080216043210,,1,,,,,100,1,,,col HT,"0,2",<p>Découvrez notre produit <strong>Kronenbourg Kronenbourg Blonde -  1 x 50 cl Boite -  3080216043210</strong></p><p>Notre produit a une date limite d'utilisation optimale (DLUO) de <strong>12 mois.</strong></p><p>Le conditionnement est par Barquette de 24 Boites</p>,"<p>Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel !</p> <p> Le conditionnement est de  1 x 50 cl Boite - Barquette de 24 Boites. Production fraîche.</p>",,Kronenbourg Kronenbourg Blonde -  1 x 50 cl Boite -  Achat demi gros,"Boissons, Bières,Kronenbourg,Kronenbourg,3080216043210,demi gros gros","Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel ! Le conditionnement est de  1 x 50 cl Boite - Barquette de 24 Boites.",3080216043210-Kronenbourg Blonde -  1 x 50 cl Boite - ,Livrable 4 jours ouvrés,Livrable 9 jours ouvrés,1,2018-03-10,2018-03-10,1,http://localhost/mcimages/kro-blonde-50-can.jpg,0,"Fardeau:Barquette de 24 Boites,Unités par palette:1920,Unités par demi-palette:960,PCB:24,Degrés d'alcool:4.2,DLUO (mois):12",0,new,0,0,0,0,0,0,0,0
17,1,Kronenbourg Blonde -  6 x 50 cl Boite - ,"Boissons, Bières,Kronenbourg","5,2643",1,,0,,,,,3080216043326,66220,,Kronenbourg,3080216043326,,1,,,,,100,1,,,col HT,"0,2",<p>Découvrez notre produit <strong>Kronenbourg Kronenbourg Blonde -  6 x 50 cl Boite -  3080216043326</strong></p><p>Notre produit a une date limite d'utilisation optimale (DLUO) de <strong>12 mois.</strong></p><p>Le conditionnement est par Barquette de 4 Packs</p>,"<p>Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel !</p> <p> Le conditionnement est de  6 x 50 cl Boite - Barquette de 4 Packs. Production fraîche.</p>",,Kronenbourg Kronenbourg Blonde -  6 x 50 cl Boite -  Achat demi gros,"Boissons, Bières,Kronenbourg,Kronenbourg,3080216043326,demi gros gros","Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel ! Le conditionnement est de  6 x 50 cl Boite - Barquette de 4 Packs.",3080216043326-Kronenbourg Blonde -  6 x 50 cl Boite - ,Livrable 4 jours ouvrés,Livrable 9 jours ouvrés,1,2018-03-10,2018-03-10,1,http://localhost/mcimages/kro-blonde-50-can.jpg,0,"Fardeau:Barquette de 4 Packs,Unités par palette:320,Unités par demi-palette:160,PCB:4,Degrés d'alcool:4.2,DLUO (mois):12",0,new,0,0,0,0,0,0,0,0
18,1,Kronenbourg Blonde -  75 cl VR - ,"Boissons, Bières,Kronenbourg","1,3792",1,,0,,,,,3080210003814,65627,,Kronenbourg,3080210003814,,1,,,,,100,1,,,col HT,"0,2",<p>Découvrez notre produit <strong>Kronenbourg Kronenbourg Blonde -  75 cl VR -  3080210003814</strong></p><p>Notre produit a une date limite d'utilisation optimale (DLUO) de <strong>12 mois.</strong></p><p>Le conditionnement est par Barquette de 6 Bouteilles</p>,"<p>Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel !</p> <p> Le conditionnement est de  75 cl VR - Barquette de 6 Bouteilles. Production fraîche.</p>",,Kronenbourg Kronenbourg Blonde -  75 cl VR -  Achat demi gros,"Boissons, Bières,Kronenbourg,Kronenbourg,3080210003814,demi gros gros","Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel ! Le conditionnement est de  75 cl VR - Barquette de 6 Bouteilles.",3080210003814-Kronenbourg Blonde -  75 cl VR - ,Livrable 4 jours ouvrés,Livrable 9 jours ouvrés,1,2018-03-10,2018-03-10,1,http://localhost/mcimages/kro-blonde-75.jpg,0,"Fardeau:Barquette de 6 Bouteilles,Unités par palette:840,Unités par demi-palette:420,PCB:6,Degrés d'alcool:4.2,DLUO (mois):12",0,new,0,0,0,0,0,0,0,0
19,1,Kronenbourg Nouvelle Consommation -  1 x 33cl Boite - ,"Boissons, Bières,Kronenbourg","0,671",1,,0,,,,,3080210000707,65692,,Kronenbourg,3080210000707,,1,,,,,100,1,,,col HT,"0,2",<p>Découvrez notre produit <strong>Kronenbourg Kronenbourg Nouvelle Consommation -  1 x 33cl Boite -  3080210000707</strong></p><p>Notre produit a une date limite d'utilisation optimale (DLUO) de <strong>12 mois.</strong></p><p>Le conditionnement est par Barquette de 24 Boites</p>,"<p>Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel !</p> <p> Le conditionnement est de  1 x 33cl Boite - Barquette de 24 Boites. Production fraîche.</p>",,Kronenbourg Kronenbourg Nouvelle Consommation -  1 x 33cl Boite -  Achat demi gros,"Boissons, Bières,Kronenbourg,Kronenbourg,3080210000707,demi gros gros","Cette Boissons, Bières,Kronenbourg de la marque Kronenbourg est disponible sur MeyjeCorp à prix exceptionnel ! Le conditionnement est de  1 x 33cl Boite - Barquette de 24 Boites.",3080210000707-Kronenbourg Nouvelle Consommation -  1 x 33cl Boite - ,Livrable 4 jours ouvrés,Livrable 9 jours ouvrés,1,2018-03-10,2018-03-10,1,http://localhost/mcimages/kro-blonde-33-long.jpg,0,"Fardeau:Barquette de 24 Boites,Unités par palette:2880,Unités par demi-palette:1440,PCB:24,Degrés d'alcool:4.2,DLUO (mois):12",0,new,0,0,0,0,0,0,0,0
